Name,Astronomie,Besenfliegen,Geschichte der Zauberei,Kräuterkunde,Verteidigung gegen die dunklen Künste,Verwandlung,Zauberkunst,Zaubertränke
Fuchsia Marlin,5,3,2,3,5,2,4,2
Magenta Cricket,6,4,1,3,3,2,3,5
Bronze Wallaby,4,3,0,6,7,1,3,6
Copper Wallaby,4,3,7,9,8,0,3,7
Green Viper,3,6,4,5,10,2,4,6
Amaranth Flamingo,4,2,1,7,5,2,3,4
Teal Blackbird,4,3,6,10,2,2,4,2
Coffee Lemur,6,6,3,7,4,4,3,6
Peach Cricket,3,3,2,3,7,3,4,4
Red Catfish,5,7,3,5,6,1,5,4
Coffee Termite,5,4,1,8,6,2,4,3
Purple Dragon,4,5,4,9,6,0,3,7
Teal Sturgeon,7,4,5,4,8,2,4,3
Green Gazelle,4,5,6,4,5,3,5,5
Plum Moth,5,6,5,6,6,5,5,3
Rose Ostrich,4,5,2,5,2,4,3,6
Silver Falcon,4,3,2,5,5,2,4,4
Apricot Hawk,3,4,1,6,3,2,5,6
Tan Badger,5,3,2,5,8,4,6,4
Crimson Chipmunk,6,4,3,3,3,0,5,2
Pink Marlin,4,4,4,4,4,2,5,5
Sapphire Lion,4,4,5,7,3,1,4,3
Tomato Ferret,4,6,2,5,3,3,1,4
White Reptile,5,5,5,6,6,4,2,4
Aquamarine Earwig,5,2,0,7,4,4,2,6
Peach Silverfish,4,5,3,8,5,2,3,5
Jade Guineafowl,5,6,1,1,1,6,5,4
Gold Barracuda,4,6,1,4,7,3,3,1
Magenta Dolphin,6,4,8,3,6,3,4,6
Apricot Tiger,5,4,6,6,6,2,4,3
Salmon Frog,4,4,2,6,6,4,3,4
Coral Capybara,5,6,5,6,4,0,4,2
Scarlet Python,5,5,0,4,4,5,4,5
Gray Swift,3,4,5,5,2,4,4,5
Magenta Flea,4,5,3,6,9,2,5,3
Lavender Emu,5,4,2,9,7,1,6,4
Red Crawdad,3,4,2,5,8,3,5,2
Sapphire Loon,5,3,1,3,10,5,4,7
Indigo Tuna,4,5,6,7,6,1,4,5
Brown Reptile,5,4,1,9,7,0,4,2
Emerald Earwig,2,5,6,4,4,0,5,5
Fuchsia Wildcat,6,5,3,5,10,2,4,6
Teal Gayal,4,4,3,5,2,1,3,4
Emerald Caterpillar,6,5,2,7,5,1,4,5
Maroon Tapir,4,4,2,6,7,1,3,6
Aquamarine Beaver,3,5,2,5,5,1,3,7
Aquamarine Porpoise,4,5,6,5,4,3,3,2
Gray Lemur,5,4,3,7,7,1,3,4
Purple Marlin,7,6,2,5,7,0,2,3
Silver Jaguar,6,4,4,3,7,3,3,4
Turquoise Caterpillar,5,6,4,8,8,5,4,0
Moccasin Ferret,3,5,3,4,3,1,5,6
Beige Rat,4,5,0,3,5,2,3,4
Pink Crow,4,4,1,7,7,3,3,8
Purple Elephant,5,5,4,8,3,5,3,6
Amethyst Mollusk,4,4,2,5,2,4,5,5
Aquamarine Snipe,3,5,2,8,3,3,4,6
Harlequin Porcupine,5,5,4,7,5,0,3,4
Silver Felidae,5,4,6,9,6,3,3,4
Silver Vole,6,5,4,6,6,7,2,5
Moccasin Crow,3,3,4,6,5,4,4,7
Indigo Woodpecker,6,6,6,8,5,3,4,6
Aqua Rook,5,4,2,6,0,6,4,2
Amber Marten,4,3,3,6,5,3,2,4
Orange Lark,5,3,3,6,8,3,2,3
Harlequin Bass,5,5,5,5,6,5,3,5
Black Hyena,3,4,3,8,6,5,4,1
Yellow Bird,5,4,6,5,3,5,3,3
Amethyst Lemming,5,4,1,7,1,4,3,8
Turquoise Koi,4,4,2,7,5,4,3,3
Tan Bonobo,4,5,1,8,4,0,5,7
Chocolate Gull,5,5,3,10,4,3,5,6
Red Leopon,6,4,4,7,4,1,3,4
Coral Pheasant,5,5,5,8,4,1,1,5
Blue Yak,2,5,2,5,2,7,3,6
Coffee Walrus,3,5,2,8,7,1,4,3
Aquamarine Panther,5,4,1,5,7,1,5,2
Jade Spider,5,5,6,3,5,3,3,8
Orange Perch,4,4,4,4,5,2,2,3
Blush Cephalopod,5,5,3,3,7,4,4,3
Coffee Newt,2,5,3,5,4,6,4,3
Turquoise Marten,3,7,2,2,4,6,3,4
Silver Camel,2,6,7,4,8,0,2,6
Gold Smelt,4,4,1,4,3,2,3,4
Copper Constrictor,4,5,3,9,7,2,5,2
Chocolate Viper,5,6,2,6,2,2,4,4
Plum Vole,6,5,1,8,7,2,4,4
Gray Platypus,6,4,4,5,5,1,4,5
Rose Sheep,4,4,1,6,4,2,2,1
Magenta Sturgeon,4,4,4,4,7,4,4,5
Violet Tarantula,5,5,3,2,7,3,1,3
Red Hornet,4,6,4,7,6,4,5,4
Gold Panda,5,6,4,4,5,4,4,4
Brown Tarantula,6,6,2,3,6,2,2,6
Blue Koi,6,6,0,7,5,2,5,3
Gold Mastodon,5,5,1,8,3,4,3,3
Crimson Yak,4,6,2,7,7,2,4,6
Magenta Grouse,4,6,3,1,4,1,4,3
Scarlet Otter,5,4,2,5,5,5,2,4
Crimson Puma,4,5,3,3,7,6,2,5
Pink Penguin,5,4,4,2,9,1,3,6
Brown Roundworm,3,4,4,4,1,3,2,2
Blue Tuna,6,2,3,3,7,3,3,7
Lavender Albatross,3,6,3,4,5,0,1,3
Maroon Eagle,4,4,4,6,7,3,4,6
Coffee Snail,5,5,5,5,5,1,4,6
Gold Tick,6,4,1,3,6,2,3,6
Pink Rabbit,4,5,0,5,5,5,2,6
Lavender Stoat,4,3,3,8,4,3,1,8
Sapphire Shark,4,3,1,3,4,2,3,2
Blush Dingo,4,3,1,2,6,3,2,7
Jade Sawfish,6,6,1,9,5,1,5,5
Silver Vicuna,3,4,0,7,7,0,5,7
Yellow Skunk,5,4,0,6,7,2,4,4
Copper Blackbird,4,3,4,6,7,5,3,4
Crimson Grouse,4,4,1,8,8,6,4,3
Ivory Parrot,3,5,1,2,3,2,3,4
Olive Cheetah,4,5,3,4,7,6,3,2
Cyan Wasp,5,6,5,5,7,7,5,6
Turquoise Lamprey,4,4,3,4,7,5,2,2
Coffee Pheasant,5,5,2,9,9,4,3,3
Gold Fox,3,4,4,5,5,2,2,2
Tan Duck,5,5,6,7,10,1,6,2
Plum Finch,4,3,2,6,2,1,4,8
Sapphire Ostrich,5,6,4,4,4,1,4,8
Teal Crow,4,3,6,4,6,0,3,1
Peach Fly,4,3,0,6,2,1,4,4
Gray Yak,3,4,3,8,4,2,5,6
Moccasin Kangaroo,5,4,2,8,6,1,3,4
Bronze Jay,4,4,6,8,10,1,3,4
Yellow Kingfisher,4,5,2,7,6,1,2,6
Black Chimpanzee,4,4,1,7,6,4,3,4
Red Mole,4,4,2,6,4,0,4,2
Rose Gopher,4,3,3,5,7,4,4,9
Gray Spoonbill,6,3,3,4,8,1,3,7
Emerald Swordfish,5,5,1,8,7,2,3,4
Purple Dragonfly,4,5,1,5,3,3,5,6
Gray Hare,5,4,0,7,9,5,2,5
Maroon Reptile,4,4,2,7,1,6,3,5
Yellow Magpie,4,5,1,5,8,4,4,7
Amaranth Sawfish,4,5,5,5,5,6,5,3
Jade Louse,5,5,3,9,7,6,4,6
Bronze Bobcat,5,6,2,3,6,4,4,5
Salmon Krill,4,5,6,7,5,0,4,3
Magenta Octopus,6,5,4,5,7,2,4,3
Indigo Damselfly,4,6,6,6,8,5,4,4
Gold Mite,5,5,6,6,5,3,5,6
Violet Bear,6,5,1,9,4,4,0,8
Chocolate Guan,5,5,5,4,4,5,4,4
Lavender Guineafowl,5,5,3,10,4,2,4,3
Lime Smelt,5,3,0,5,3,2,4,7
Maroon Wolverine,4,6,5,4,7,5,3,6
Peach Hookworm,5,5,0,3,6,0,3,9
White Heron,5,6,6,5,7,4,4,5
Crimson Snake,4,6,4,6,6,1,4,3
Tomato Ant,2,4,4,5,5,4,4,5
Rose Cricket,3,3,4,6,4,2,3,6
Cyan Grouse,6,4,0,6,6,8,3,6
Gray Fly,5,3,6,6,7,3,3,8
Jade Moose,3,5,2,4,9,2,2,6
Olive Peacock,5,5,4,10,6,1,2,6
Fuchsia Guan,5,5,4,5,1,2,5,4
Fuchsia Trout,4,4,2,7,3,3,4,5
Green Chipmunk,5,4,3,4,4,5,4,1
Black Gayal,4,5,4,4,7,2,4,5
Tan Sole,7,5,4,5,7,4,3,4
Orange Turtle,4,4,3,5,6,3,4,4
Plum Mastodon,4,6,3,5,7,1,2,1
Sapphire Planarian,5,4,1,6,4,8,4,1
Magenta Herring,5,5,3,6,9,2,4,3
Orange Viper,6,4,2,6,6,4,4,7
Amber Smelt,2,3,0,7,6,3,4,1
Green Quail,3,5,6,7,5,2,3,3
Gray Vulture,4,5,4,8,5,2,2,5
Plum Snipe,5,4,5,1,5,2,5,4
Apricot Bovid,4,4,3,6,4,3,5,1
Fuchsia Cardinal,4,5,3,6,4,3,5,7
Apricot Koi,4,6,4,5,5,1,3,1
Brown Pheasant,4,3,2,3,6,3,3,5
Coral Bonobo,3,3,3,6,5,6,6,3
Sapphire Porpoise,4,4,4,6,3,1,3,6
Indigo Mandrill,5,6,3,4,5,5,4,6
Azure Perch,5,5,7,7,3,3,2,1
Aqua Salmon,6,4,2,9,6,1,4,6
Orange Capybara,5,3,4,7,4,2,3,3
Coral Antelope,5,4,4,6,10,4,2,5
Coffee Slug,6,5,4,4,5,4,2,8
White Antlion,4,3,3,5,5,4,2,6
Pink Slug,5,5,6,7,6,0,2,7
Emerald Bass,4,5,0,6,2,3,5,3
Lavender Chameleon,4,4,3,9,6,3,2,2
Maroon Lark,5,4,3,3,9,0,3,5
Brown Guppy,4,4,4,8,6,3,3,1
Yellow Shrew,5,4,6,5,6,2,3,5
Magenta Dragonfly,4,3,2,6,5,2,2,7
Blue Boa,4,6,1,4,9,1,4,5
Fuchsia Wasp,5,5,2,4,6,6,4,6
Magenta Narwhal,6,5,4,7,6,5,4,6
Scarlet Marmot,6,4,3,1,5,0,2,5
Gray Gamefowl,4,5,2,4,6,2,5,3
Jade Ocelot,5,5,3,6,10,1,4,5
Crimson Locust,5,5,6,3,7,4,3,4
Azure Deer,4,5,5,4,9,2,4,5
Crimson Toucan,5,4,4,5,4,4,4,2
Green Muskox,3,4,1,5,6,4,4,2
Azure Squirrel,6,3,0,7,6,2,4,6
Moccasin Woodpecker,4,4,3,3,7,0,3,6
Sapphire Mollusk,5,6,4,3,4,2,5,4
Tan Felidae,3,6,4,7,8,2,4,2
Maroon Pike,4,4,1,5,5,2,4,3
Fuchsia Gamefowl,4,5,0,4,5,5,4,3
Scarlet Butterfly,2,5,1,9,3,1,4,7
Yellow Vole,5,2,1,5,7,2,3,5
Magenta Clownfish,5,3,2,6,5,2,4,6
Chocolate Damselfly,4,4,2,6,3,1,3,5
Bronze Warbler,4,5,2,6,6,1,5,5
Emerald Silverfish,5,4,2,9,7,0,3,5
Olive Cuckoo,5,3,1,3,5,2,3,8
Bronze Louse,4,5,4,7,9,4,3,9
Azure Termite,5,5,5,8,5,4,4,5
Harlequin Panther,4,4,5,6,9,4,2,6
Silver Mink,5,5,4,6,7,4,5,3
Tan Llama,5,3,2,8,8,4,5,6
Coffee Gull,5,6,4,5,2,2,4,4
Copper Rattlesnake,4,4,2,4,8,4,3,7
Yellow Crocodile,5,6,0,5,5,2,3,3
Blue Buzzard,4,3,2,4,8,1,4,7
Pink Eel,4,6,2,5,4,1,3,3
Aquamarine Armadillo,6,4,2,5,5,2,4,5
Amber Prawn,5,2,5,9,5,2,3,2
Black Leopon,4,4,2,5,6,1,3,6
Peach Scallop,3,5,4,6,4,2,3,4
Cyan Iguana,6,5,2,5,5,3,3,6
Amethyst Bat,6,4,0,6,7,3,4,8
Scarlet Bee,4,5,6,7,4,1,2,5
Amethyst Duck,4,3,2,7,8,4,2,1
Fuchsia Sawfish,5,5,1,5,3,1,6,6
Amber Koi,5,7,2,6,6,1,4,4
Ivory Cat,6,5,2,6,4,3,2,4
Aqua Viper,4,6,1,6,3,1,2,9
Copper Kite,4,5,4,3,5,3,4,5
Lime Ladybug,7,4,3,8,10,3,4,5
Tan Blackbird,3,4,3,4,5,5,4,4
Teal Puma,5,4,5,8,6,2,3,6
Coffee Wombat,5,5,2,4,7,1,4,1
Scarlet Gazelle,4,5,0,9,7,5,3,6
Amaranth Tern,5,4,1,7,8,2,4,6
Red Pony,5,5,2,7,8,2,4,3
Brown Hyena,5,5,5,7,6,0,4,3
Green Guanaco,5,3,1,7,5,7,3,4
Amaranth Chipmunk,4,6,1,10,8,1,3,4
Blush Gorilla,6,5,3,6,8,3,2,8
Olive Wildfowl,3,3,3,8,2,2,4,6
Fuchsia Ladybug,4,5,2,4,5,0,4,3
Harlequin Perch,4,5,4,5,7,3,3,3
Yellow Mammal,5,5,5,4,4,1,3,7
Green Platypus,5,4,2,5,6,5,4,5
Azure Jaguar,6,5,3,4,5,5,4,7
Moccasin Viper,6,5,0,6,6,4,3,4
Pink Pinniped,6,4,3,7,6,2,4,6
Gray Dog,5,5,5,3,5,4,3,5
Fuchsia Vulture,5,4,0,4,5,4,3,8
Peach Jaguar,5,4,2,8,3,4,3,5
Jade Seahorse,5,5,2,9,3,1,4,6
Blue Turkey,5,4,2,6,6,0,4,3
Black Snipe,5,5,3,6,6,5,3,8
Red Constrictor,5,4,3,3,6,3,3,3
Blush Cougar,4,3,1,6,3,4,6,5
Apricot Asp,2,4,2,5,6,0,5,1
Copper Mockingbird,6,5,3,5,6,4,4,6
Crimson Tiger,4,5,3,3,9,5,5,4
Azure Bug,5,3,5,1,7,2,4,2
Bronze Roadrunner,5,4,2,5,5,2,3,3
Brown Peacock,4,5,0,4,8,2,2,3
Aqua Seahorse,4,5,3,3,8,2,3,5
Maroon Carp,2,5,0,9,6,3,3,4
Tan Rhinoceros,5,6,3,7,6,5,3,6
Aqua Herring,4,4,4,3,5,3,5,4
Gold Elk,5,4,6,6,8,4,3,5
Lime Tiger,5,5,1,7,4,1,3,1
Aquamarine Roadrunner,5,3,3,5,3,1,5,5
Plum Lynx,6,4,4,2,5,3,3,6
Magenta Bedbug,6,4,0,0,5,1,3,5
Ivory Roundworm,5,6,2,8,4,1,5,4
Ivory Dragon,5,4,5,4,4,3,3,7
Blush Squirrel,4,5,3,6,5,3,3,4
Turquoise Anglerfish,3,7,1,4,7,4,4,7
Jade Earthworm,5,6,0,3,6,4,3,6
Blush Armadillo,5,5,5,5,7,5,4,4
Amethyst Catfish,5,3,1,5,6,3,5,6
Teal Pheasant,3,6,4,2,3,4,3,4
Crimson Hawk,4,3,2,2,6,4,1,6
Apricot Wolverine,6,5,7,9,4,1,3,5
Indigo Constrictor,6,4,3,2,5,3,2,8
Orange Cougar,4,7,2,8,5,1,5,7
