Matrikelnummer,Vorname,Nachname,E-Mail,Geschlecht,Year,Haus
421101,Lavender,Quokka,lavender.quokka@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421102,Pink,Jaguar,pink.jaguar@hex.uni-hogwarts.com,männlich,7,Ravenclaw
421103,Magenta,Koala,magenta.koala@hex.uni-hogwarts.com,männlich,5,Slytherin
421104,Tomato,Anglerfish,tomato.anglerfish@hex.uni-hogwarts.com,weiblich,6,Slytherin
421105,Moccasin,Roundworm,moccasin.roundworm@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421106,Amethyst,Quail,amethyst.quail@hex.uni-hogwarts.com,weiblich,6,Ravenclaw
421107,Teal,Gull,teal.gull@hex.uni-hogwarts.com,weiblich,6,Slytherin
421110,Ivory,Wildfowl,ivory.wildfowl@hex.uni-hogwarts.com,weiblich,7,Hufflepuff
421111,Apricot,Magpie,apricot.magpie@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421112,Harlequin,Bovid,harlequin.bovid@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421113,Coral,Falcon,coral.falcon@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421114,Ivory,Swordfish,ivory.swordfish@hex.uni-hogwarts.com,weiblich,3,Slytherin
421115,Lavender,Skink,lavender.skink@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421116,Green,Hookworm,green.hookworm@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421117,Moccasin,Cricket,moccasin.cricket@hex.uni-hogwarts.com,weiblich,2,Slytherin
421118,Apricot,Coral,apricot.coral@hex.uni-hogwarts.com,weiblich,2,Slytherin
421119,Harlequin,Loon,harlequin.loon@hex.uni-hogwarts.com,männlich,3,Slytherin
421120,Yellow,Newt,yellow.newt@hex.uni-hogwarts.com,weiblich,5,Hufflepuff
421121,Coral,Ox,coral.ox@hex.uni-hogwarts.com,männlich,4,Slytherin
421122,Silver,Goat,silver.goat@hex.uni-hogwarts.com,weiblich,2,Slytherin
421123,Amaranth,Fly,amaranth.fly@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421124,Pink,Narwhal,pink.narwhal@hex.uni-hogwarts.com,männlich,2,Slytherin
421125,Gray,Antelope,gray.antelope@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421126,Turquoise,Tern,turquoise.tern@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421128,Magenta,Crocodile,magenta.crocodile@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421131,Chocolate,Guineafowl,chocolate.guineafowl@hex.uni-hogwarts.com,männlich,7,Gryffindor
421133,Olive,Armadillo,olive.armadillo@hex.uni-hogwarts.com,männlich,6,Slytherin
421134,Gold,Peacock,gold.peacock@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421135,Scarlet,Whitefish,scarlet.whitefish@hex.uni-hogwarts.com,männlich,4,Gryffindor
421136,Emerald,Dog,emerald.dog@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421137,Violet,Duck,violet.duck@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421138,Blush,Bass,blush.bass@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421139,Purple,Ox,purple.ox@hex.uni-hogwarts.com,männlich,6,Gryffindor
421140,Magenta,Anaconda,magenta.anaconda@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421142,Plum,Starfish,plum.starfish@hex.uni-hogwarts.com,weiblich,6,Gryffindor
421143,White,Squirrel,white.squirrel@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421144,Cyan,Smelt,cyan.smelt@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421145,Amethyst,Tern,amethyst.tern@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421146,Salmon,Koi,salmon.koi@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421147,Scarlet,Bird,scarlet.bird@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421148,Copper,Koi,copper.koi@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421149,Jade,Crane,jade.crane@hex.uni-hogwarts.com,weiblich,7,Slytherin
421151,Harlequin,Guanaco,harlequin.guanaco@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421152,Blue,Sole,blue.sole@hex.uni-hogwarts.com,weiblich,4,Slytherin
421154,Silver,Rat,silver.rat@hex.uni-hogwarts.com,männlich,4,Gryffindor
421155,Coral,Limpet,coral.limpet@hex.uni-hogwarts.com,weiblich,5,Slytherin
421156,Violet,Thrush,violet.thrush@hex.uni-hogwarts.com,männlich,3,Slytherin
421157,Indigo,Wolverine,indigo.wolverine@hex.uni-hogwarts.com,männlich,3,Gryffindor
421158,Beige,Muskox,beige.muskox@hex.uni-hogwarts.com,weiblich,2,Slytherin
421159,Blush,Lark,blush.lark@hex.uni-hogwarts.com,männlich,3,Gryffindor
421160,Rose,Coral,rose.coral@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421162,Aquamarine,Cuckoo,aquamarine.cuckoo@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421163,Scarlet,Wildebeest,scarlet.wildebeest@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421164,Peach,Leopon,peach.leopon@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421166,Brown,Gopher,brown.gopher@hex.uni-hogwarts.com,männlich,3,Gryffindor
421167,Tomato,Rabbit,tomato.rabbit@hex.uni-hogwarts.com,männlich,5,Gryffindor
421168,Sapphire,Takin,sapphire.takin@hex.uni-hogwarts.com,weiblich,4,Slytherin
421170,Coral,Cow,coral.cow@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421171,Plum,Amphibian,plum.amphibian@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421172,Amaranth,Earthworm,amaranth.earthworm@hex.uni-hogwarts.com,männlich,5,Gryffindor
421173,Amethyst,Tahr,amethyst.tahr@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421174,Orange,Crow,orange.crow@hex.uni-hogwarts.com,männlich,2,Gryffindor
421176,Coral,Barracuda,coral.barracuda@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421177,Magenta,Primate,magenta.primate@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421178,Magenta,Sole,magenta.sole@hex.uni-hogwarts.com,weiblich,4,Hufflepuff
421179,Red,Herring,red.herring@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421180,Orange,Canidae,orange.canidae@hex.uni-hogwarts.com,männlich,3,Gryffindor
421181,Lavender,Coral,lavender.coral@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421182,Peach,Jackal,peach.jackal@hex.uni-hogwarts.com,weiblich,5,Hufflepuff
421183,Gray,Chickadee,gray.chickadee@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421184,Violet,Sawfish,violet.sawfish@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421185,Bronze,Carp,bronze.carp@hex.uni-hogwarts.com,männlich,2,Gryffindor
421186,Moccasin,Bovid,moccasin.bovid@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421187,Black,Tahr,black.tahr@hex.uni-hogwarts.com,weiblich,5,Hufflepuff
421188,Rose,Marten,rose.marten@hex.uni-hogwarts.com,weiblich,3,Slytherin
421189,Yellow,Spoonbill,yellow.spoonbill@hex.uni-hogwarts.com,weiblich,6,Hufflepuff
421190,Amethyst,Gull,amethyst.gull@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421191,Sapphire,Catshark,sapphire.catshark@hex.uni-hogwarts.com,männlich,6,Gryffindor
421192,Lime,Cattle,lime.cattle@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421193,Apricot,Fox,apricot.fox@hex.uni-hogwarts.com,weiblich,4,Hufflepuff
421195,Beige,Tyrannosaurus,beige.tyrannosaurus@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421196,Yellow,Platypus,yellow.platypus@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421197,Azure,Warbler,azure.warbler@hex.uni-hogwarts.com,weiblich,3,Slytherin
421199,Gold,Walrus,gold.walrus@hex.uni-hogwarts.com,männlich,6,Gryffindor
421200,Purple,Quokka,purple.quokka@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421201,Pink,Possum,pink.possum@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421202,Amber,Cobra,amber.cobra@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421203,Magenta,Caribou,magenta.caribou@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421204,Jade,Leech,jade.leech@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421205,Fuchsia,Marlin,fuchsia.marlin@hex.uni-hogwarts.com,weiblich,7,Ravenclaw
421206,Magenta,Cricket,magenta.cricket@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421207,Bronze,Wallaby,bronze.wallaby@hex.uni-hogwarts.com,männlich,3,Slytherin
421208,Copper,Wallaby,copper.wallaby@hex.uni-hogwarts.com,männlich,2,Slytherin
421210,Amaranth,Flamingo,amaranth.flamingo@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421211,Teal,Blackbird,teal.blackbird@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421212,Coffee,Lemur,coffee.lemur@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421214,Red,Catfish,red.catfish@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421215,Coffee,Termite,coffee.termite@hex.uni-hogwarts.com,weiblich,5,Gryffindor
421216,Purple,Dragon,purple.dragon@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421217,Teal,Sturgeon,teal.sturgeon@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421218,Green,Gazelle,green.gazelle@hex.uni-hogwarts.com,weiblich,7,Slytherin
421219,Plum,Moth,plum.moth@hex.uni-hogwarts.com,weiblich,4,Slytherin
421220,Rose,Ostrich,rose.ostrich@hex.uni-hogwarts.com,männlich,3,Gryffindor
421221,Silver,Falcon,silver.falcon@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421222,Apricot,Hawk,apricot.hawk@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421223,Tan,Badger,tan.badger@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421224,Crimson,Chipmunk,crimson.chipmunk@hex.uni-hogwarts.com,weiblich,7,Slytherin
421225,Pink,Marlin,pink.marlin@hex.uni-hogwarts.com,männlich,7,Gryffindor
421226,Sapphire,Lion,sapphire.lion@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421227,Tomato,Ferret,tomato.ferret@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421228,White,Reptile,white.reptile@hex.uni-hogwarts.com,männlich,5,Gryffindor
421229,Aquamarine,Earwig,aquamarine.earwig@hex.uni-hogwarts.com,männlich,6,Gryffindor
421230,Peach,Silverfish,peach.silverfish@hex.uni-hogwarts.com,männlich,3,Gryffindor
421231,Jade,Guineafowl,jade.guineafowl@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421233,Magenta,Dolphin,magenta.dolphin@hex.uni-hogwarts.com,weiblich,4,Hufflepuff
421234,Apricot,Tiger,apricot.tiger@hex.uni-hogwarts.com,weiblich,5,Slytherin
421235,Salmon,Frog,salmon.frog@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421236,Coral,Capybara,coral.capybara@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421237,Scarlet,Python,scarlet.python@hex.uni-hogwarts.com,weiblich,7,Ravenclaw
421238,Gray,Swift,gray.swift@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421239,Magenta,Flea,magenta.flea@hex.uni-hogwarts.com,weiblich,6,Slytherin
421240,Lavender,Emu,lavender.emu@hex.uni-hogwarts.com,männlich,6,Gryffindor
421241,Red,Crawdad,red.crawdad@hex.uni-hogwarts.com,männlich,3,Slytherin
421242,Sapphire,Loon,sapphire.loon@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421244,Brown,Reptile,brown.reptile@hex.uni-hogwarts.com,weiblich,2,Slytherin
421245,Emerald,Earwig,emerald.earwig@hex.uni-hogwarts.com,weiblich,2,Slytherin
421246,Fuchsia,Wildcat,fuchsia.wildcat@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421247,Teal,Gayal,teal.gayal@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421248,Emerald,Caterpillar,emerald.caterpillar@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421249,Maroon,Tapir,maroon.tapir@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421250,Aquamarine,Beaver,aquamarine.beaver@hex.uni-hogwarts.com,männlich,2,Slytherin
421251,Aquamarine,Porpoise,aquamarine.porpoise@hex.uni-hogwarts.com,männlich,3,Slytherin
421252,Gray,Lemur,gray.lemur@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421255,Turquoise,Caterpillar,turquoise.caterpillar@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421256,Moccasin,Ferret,moccasin.ferret@hex.uni-hogwarts.com,männlich,4,Gryffindor
421258,Pink,Crow,pink.crow@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421259,Purple,Elephant,purple.elephant@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421260,Amethyst,Mollusk,amethyst.mollusk@hex.uni-hogwarts.com,männlich,7,Slytherin
421261,Aquamarine,Snipe,aquamarine.snipe@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421264,Silver,Vole,silver.vole@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421265,Moccasin,Crow,moccasin.crow@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421266,Indigo,Woodpecker,indigo.woodpecker@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421267,Aqua,Rook,aqua.rook@hex.uni-hogwarts.com,männlich,6,Slytherin
421268,Amber,Marten,amber.marten@hex.uni-hogwarts.com,männlich,3,Gryffindor
421269,Orange,Lark,orange.lark@hex.uni-hogwarts.com,weiblich,4,Slytherin
421270,Harlequin,Bass,harlequin.bass@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421271,Black,Hyena,black.hyena@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421273,Amethyst,Lemming,amethyst.lemming@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421274,Turquoise,Koi,turquoise.koi@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421275,Tan,Bonobo,tan.bonobo@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421277,Red,Leopon,red.leopon@hex.uni-hogwarts.com,männlich,7,Gryffindor
421279,Blue,Yak,blue.yak@hex.uni-hogwarts.com,männlich,3,Slytherin
421280,Coffee,Walrus,coffee.walrus@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421281,Aquamarine,Panther,aquamarine.panther@hex.uni-hogwarts.com,weiblich,6,Gryffindor
421282,Jade,Spider,jade.spider@hex.uni-hogwarts.com,weiblich,6,Slytherin
421283,Orange,Perch,orange.perch@hex.uni-hogwarts.com,weiblich,7,Ravenclaw
421284,Blush,Cephalopod,blush.cephalopod@hex.uni-hogwarts.com,männlich,4,Gryffindor
421285,Coffee,Newt,coffee.newt@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421286,Turquoise,Marten,turquoise.marten@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421287,Silver,Camel,silver.camel@hex.uni-hogwarts.com,männlich,6,Slytherin
421289,Copper,Constrictor,copper.constrictor@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421290,Chocolate,Viper,chocolate.viper@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421291,Plum,Vole,plum.vole@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421292,Gray,Platypus,gray.platypus@hex.uni-hogwarts.com,männlich,7,Slytherin
421294,Magenta,Sturgeon,magenta.sturgeon@hex.uni-hogwarts.com,weiblich,6,Ravenclaw
421295,Violet,Tarantula,violet.tarantula@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421296,Red,Hornet,red.hornet@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421298,Brown,Tarantula,brown.tarantula@hex.uni-hogwarts.com,männlich,7,Hufflepuff
421299,Blue,Koi,blue.koi@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421300,Gold,Mastodon,gold.mastodon@hex.uni-hogwarts.com,männlich,2,Slytherin
421302,Magenta,Grouse,magenta.grouse@hex.uni-hogwarts.com,weiblich,5,Hufflepuff
421303,Scarlet,Otter,scarlet.otter@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421304,Crimson,Puma,crimson.puma@hex.uni-hogwarts.com,weiblich,6,Gryffindor
421305,Pink,Penguin,pink.penguin@hex.uni-hogwarts.com,männlich,4,Gryffindor
421306,Brown,Roundworm,brown.roundworm@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421307,Blue,Tuna,blue.tuna@hex.uni-hogwarts.com,weiblich,3,Slytherin
421308,Lavender,Albatross,lavender.albatross@hex.uni-hogwarts.com,männlich,7,Ravenclaw
421309,Maroon,Eagle,maroon.eagle@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421310,Coffee,Snail,coffee.snail@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421311,Gold,Tick,gold.tick@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421314,Sapphire,Shark,sapphire.shark@hex.uni-hogwarts.com,männlich,4,Gryffindor
421315,Blush,Dingo,blush.dingo@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421316,Jade,Sawfish,jade.sawfish@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421317,Silver,Vicuna,silver.vicuna@hex.uni-hogwarts.com,männlich,2,Gryffindor
421318,Yellow,Skunk,yellow.skunk@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421320,Crimson,Grouse,crimson.grouse@hex.uni-hogwarts.com,männlich,3,Gryffindor
421321,Ivory,Parrot,ivory.parrot@hex.uni-hogwarts.com,männlich,2,Gryffindor
421323,Cyan,Wasp,cyan.wasp@hex.uni-hogwarts.com,männlich,7,Gryffindor
421325,Coffee,Pheasant,coffee.pheasant@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421326,Gold,Fox,gold.fox@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421327,Tan,Duck,tan.duck@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421328,Plum,Finch,plum.finch@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421329,Sapphire,Ostrich,sapphire.ostrich@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421330,Teal,Crow,teal.crow@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421331,Peach,Fly,peach.fly@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421332,Gray,Yak,gray.yak@hex.uni-hogwarts.com,männlich,6,Ravenclaw
421334,Bronze,Jay,bronze.jay@hex.uni-hogwarts.com,weiblich,2,Slytherin
421336,Black,Chimpanzee,black.chimpanzee@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421337,Red,Mole,red.mole@hex.uni-hogwarts.com,weiblich,3,Slytherin
421338,Rose,Gopher,rose.gopher@hex.uni-hogwarts.com,männlich,6,Slytherin
421339,Gray,Spoonbill,gray.spoonbill@hex.uni-hogwarts.com,männlich,6,Ravenclaw
421340,Emerald,Swordfish,emerald.swordfish@hex.uni-hogwarts.com,männlich,3,Gryffindor
421341,Purple,Dragonfly,purple.dragonfly@hex.uni-hogwarts.com,männlich,3,Gryffindor
421342,Gray,Hare,gray.hare@hex.uni-hogwarts.com,weiblich,2,Slytherin
421343,Maroon,Reptile,maroon.reptile@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421345,Amaranth,Sawfish,amaranth.sawfish@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421346,Jade,Louse,jade.louse@hex.uni-hogwarts.com,männlich,2,Gryffindor
421347,Bronze,Bobcat,bronze.bobcat@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421349,Magenta,Octopus,magenta.octopus@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421350,Indigo,Damselfly,indigo.damselfly@hex.uni-hogwarts.com,männlich,5,Slytherin
